IMU calibration complete.
IMU initialized successfully!
Ready to start!!
Waiting for button to start the program...
New Logging is starting!

magX,magY,magZ

-2.00,25.00,57.00


-2.00,25.00,57.00


-2.00,25.00,57.00


-2.00,25.00,57.00


-4.00,25.00,57.00


-4.00,25.00,57.00


-25.00,15.00,52.00


-25.00,15.00,52.00


-25.00,15.00,52.00


-25.00,15.00,52.00


-26.00,12.00,51.00


-26.00,12.00,51.00


-26.00,12.00,51.00


-26.00,12.00,51.00


-26.00,12.00,51.00


-26.00,12.00,51.00


-26.00,12.00,51.00


-24.00,12.00,53.00


-24.00,12.00,53.00


-24.00,12.00,53.00


-24.00,12.00,53.00


-24.00,12.00,53.00


-24.00,12.00,53.00


-24.00,12.00,53.00


-24.00,12.00,53.00


-25.00,16.00,48.00


-25.00,16.00,48.00


-25.00,16.00,48.00


-25.00,16.00,48.00


-25.00,16.00,48.00


-25.00,16.00,48.00


-25.00,16.00,48.00


-26.00,14.00,55.00


-26.00,14.00,55.00


-26.00,14.00,55.00


-26.00,14.00,55.00


-26.00,14.00,55.00


-26.00,14.00,55.00


-26.00,14.00,55.00


-26.00,14.00,55.00


-26.00,16.00,52.00


-26.00,16.00,52.00


-26.00,16.00,52.00


-26.00,16.00,52.00


-26.00,16.00,52.00


-26.00,16.00,52.00


-26.00,16.00,52.00


-26.00,21.00,50.00


-26.00,21.00,50.00


-26.00,21.00,50.00


-26.00,21.00,50.00


-26.00,21.00,50.00


-26.00,21.00,50.00


-26.00,21.00,50.00


-26.00,21.00,50.00


-18.00,22.00,53.00


-18.00,22.00,53.00


-18.00,22.00,53.00


-18.00,22.00,53.00


-18.00,22.00,53.00


-18.00,22.00,53.00


-18.00,22.00,53.00


